84.14.8.53	pap.fr
84.16.80.131	drweb.fr
84.21.48.97	porsche.com
84.21.48.97	porsche.fr
84.37.126.203	www.seb.fr
84.37.86.235	www.but.fr
85.112.20.32	europe-nikon.com
85.112.20.32	nikon.fr
85.112.25.57	pioneer.eu
85.112.25.57	pioneer-eur.com
85.112.25.57	www.pioneer.eu
85.112.25.84	pioneer.fr
85.112.25.84	www.pioneer.fr
85.116.42.80	boursier.com
85.116.42.86	www.boursier.com
85.119.26.22	nomura.com
86.188.170.5	eurotunnel.com
86.188.170.5	www.eurotunnel.com
86.58.174.130	hasselblad.com
87.238.40.68	norman.com
87.238.40.68	www.norman.com
87.242.75.178	drweb.com
87.98.143.59	webmasterclub.fr
87.98.143.59	www.webworkerclub.com
89.185.37.3	veoliaeau.com
89.185.37.3	www.veoliaeau.com
89.234.21.202	avanquest.com
89.234.21.202	www.avanquest.com
89.234.21.202	www.avanquest.fr
89.234.37.34	www.eurostar.com
89.31.146.229	lacoste.com
89.31.146.59	touslesprix.com
89.31.146.59	www.touslesprix.com
89.31.147.14	elipson.com
89.31.147.14	son-video.com
89.31.147.14	www.elipson.com
89.31.147.14	www.son-video.com
90.80.213.43	www.oney.fr
90.80.40.217	protectio.net
90.85.39.1	maif.fr
90.85.39.1	www.maif.fr
91.103.233.88	mousquetaires.com
91.103.233.88	www.mousquetaires.com
91.121.103.20	www.jvc-europe.com
91.121.96.42	pny.fr
91.135.181.224	caisse-epargne.fr
91.135.181.224	www.caisse-epargne.fr
91.198.191.25	areva.com
91.198.191.25	www.areva.com
91.198.191.7	arevagroup.com
91.199.212.176	comodo.com
91.199.212.176	www.comodo.com
91.199.254.165	systran.fr
91.201.83.8	66.com
91.211.165.65	ldlc.com
91.211.165.65	ldlc.fr
91.211.165.65	www.ldlc.com
91.212.136.200	ikarus.at
91.212.136.200	www.ikarussecurity.com
91.212.136.24	ikarus-software.at
91.223.125.137	www.ganassurances.fr
91.231.212.51	bullguard.com
92.123.43.213	ichotelsgroup.com
92.238.96.13	virgin.net
92.43.121.128	www.nordea.com
93.184.32.140	esgi.fr
93.188.174.110	michelin.com
93.188.174.110	www.michelin.com
93.20.42.71	www.cmb.fr
93.20.46.126	www.allianzbanque.fr
93.20.46.72	www.fortuneo.fr
93.93.184.230	laboutiquedunet.com
93.93.184.230	www.laboutiquedunet.com
93.93.184.237	looneo.fr
93.93.184.237	www.looneo.fr
94.125.164.22	matra.com
94.175.209.82	www.lloyds.com
94.236.15.74	afdb.org
94.236.15.74	www.afdb.org
95.211.116.30	monsieurprix.com
95.211.116.30	www.monsieurprix.com
95.211.116.43	kelkoo.fr
95.211.116.43	www.kelkoo.fr
95.211.116.48	kelkoo.com
95.211.116.53	www.kelkoo.com
